bid_discount,count_linktot_in,count_linktot_out,auction_type,participated,logmiles_fiwo,logcapital,backlog_lagged,firm_type_unlim_liab,auction_id,labor,region,year
18.94,,,0,1,2.47805,,,,336226,,"LOMBARDIA",2006
5.66,,,0,1,0,,,0,330820,,"PIEMONTE",2006
21.189,,,0,1,,,,0,344646,,"VENETO",2006
28,,,0,1,3.206155,,,,374652,,"LOMBARDIA",2007
17.218,,,0,1,,,,0,336523,,"VENETO",2006
17.468,,,0,1,,,,0,336701,,"VENETO",2006
17.676,,,0,1,,,,0,336702,,"VENETO",2006
17.881,,,0,1,,,,0,336919,,"VENETO",2006
18.097,,,0,1,,,,0,336920,,"VENETO",2006
16.343,,,0,1,,,,0,337129,,"VENETO",2006
15.86,,,0,1,5.371647,,,0,362372,,"PIEMONTE",2006
12.26,,,0,1,,,,0,331046,,"VENETO",2006
12.155,,,0,1,6.868877,,,0,344642,,"VENETO",2006
11.43,,,0,1,4.053418,,,,317480,,"LOMBARDIA",2005
10.881,,,0,1,,,,,314620,,"PIEMONTE",2005
14.887,,,0,1,6.044508,,,,348564,,"EMILIA ROMAGNA",2006
4.141,,,0,1,,,,0,349071,,"VENETO",2006
14.929,,,0,1,0,,,0,348805,,"VENETO",2006
36.12,,,1,1,3.068053,,,0,349844,,"PIEMONTE",2006
10.715,,,0,1,6.172168,,,,362325,,"EMILIA ROMAGNA",2006
18.799,,,0,1,6.14054,,,0,350628,,"LOMBARDIA",2006
16.3,,,0,1,3.685348,,,0,334689,,"LOMBARDIA",2006
2,,,0,1,0,,,0,352706,,"PIEMONTE",2006
12.882,,,0,1,,,,,332977,,"PIEMONTE",2006
13.868,,,0,1,5.927675,,,0,337262,,"EMILIA ROMAGNA",2006
17.17,,,1,1,4.206095,,,0,326099,,"PIEMONTE",2006
14.62,,,1,1,4.206095,,0,0,329561,,"PIEMONTE",2006
5.86,,,0,1,3.478559,,,0,323960,,"LIGURIA",2006
13.868,,,0,1,5.489458,,0,0,325749,,"VENETO",2006
31.48,,,0,1,5.065856,,0,0,332746,,"LIGURIA",2006
3.792,,,0,1,3.716252,,0,0,334361,,"EMILIA ROMAGNA",2006
36.48,,,0,1,4.951982,,0,0,362363,,"LIGURIA",2006
18.036,,,0,1,5.17959,,0,0,373155,,"EMILIA ROMAGNA",2007
13.77,,,0,1,4.122187,,,,316577,,"EMILIA ROMAGNA",2005
17.68,,,0,1,2.962434,,,,336226,,"LOMBARDIA",2006
13.545,,,0,1,,,,0,336523,,"VENETO",2006
10.828,,,0,1,,,,0,336701,,"VENETO",2006
13.022,,,0,1,,,,0,336702,,"VENETO",2006
10.333,,,0,1,,,,0,336919,,"VENETO",2006
11.338,,,0,1,,,,0,336920,,"VENETO",2006
11.991,,,0,1,,,,0,337129,,"VENETO",2006
19.8,,,1,1,3.91448,,,0,349856,,"PIEMONTE",2006
17.9,,,1,1,3.91448,,,0,349857,,"PIEMONTE",2006
2.5,,,1,1,3.91448,,,0,349858,,"PIEMONTE",2006
19.78,,,0,1,4.218375,,,0,355962,,"PIEMONTE",2006
2.822,,,0,1,0,,,,324759,,"EMILIA ROMAGNA",2006
4.22,,,0,1,,,,,335675,,"LIGURIA",2006
9.105,,,0,1,0,,,,374207,,"LOMBARDIA",2007
